año;provincia;sector;subsector;tipo_de_gas;valor_toneladas_gas;valor_toneladas_co2e
2010;Buenos Aires;Agricultura y Ganaderia;3A. Fermentación entérica;CH4;72924.1;2041874.89
2010;Catamarca;Agricultura y Ganaderia;3A. Fermentación entérica;CH4;163.48;4577.37
2010;Córdoba;Agricultura y Ganaderia;3A. Fermentación entérica;CH4;95862.58;2684152.14
2010;Corrientes;Agricultura y Ganaderia;3A. Fermentación entérica;CH4;9.73;272.42
2010;Chaco;Agricultura y Ganaderia;3A. Fermentación entérica;CH4;17.96;502.92
2010;Chubut;Agricultura y Ganaderia;3A. Fermentación entérica;CH4;16.27;455.61
2010;Entre Ríos;Agricultura y Ganaderia;3A. Fermentación entérica;CH4;9545.84;267283.51
2010;Formosa;Agricultura y Ganaderia;3A. Fermentación entérica;CH4;2.06;57.58
2010;Jujuy;Agricultura y Ganaderia;3A. Fermentación entérica;CH4;11.01;308.38
2010;La Pampa;Agricultura y Ganaderia;3A. Fermentación entérica;CH4;3483.8;97546.44
2010;La Rioja;Agricultura y Ganaderia;3A. Fermentación entérica;CH4;0.93;26.15
2010;Mendoza;Agricultura y Ganaderia;3A. Fermentación entérica;CH4;35.44;992.36
2010;Misiones;Agricultura y Ganaderia;3A. Fermentación entérica;CH4;23.55;659.41
2010;Neuquén;Agricultura y Ganaderia;3A. Fermentación entérica;CH4;20.91;585.48
2010;Río Negro;Agricultura y Ganaderia;3A. Fermentación entérica;CH4;90.24;2526.81
2010;Salta;Agricultura y Ganaderia;3A. Fermentación entérica;CH4;834.49;23365.68
2010;San Juan;Agricultura y Ganaderia;3A. Fermentación entérica;CH4;0.53;14.91
2010;San Luis;Agricultura y Ganaderia;3A. Fermentación entérica;CH4;341.51;9562.42
2010;Santa Cruz;Agricultura y Ganaderia;3A. Fermentación entérica;CH4;50.98;1427.43
2010;Santa Fe;Agricultura y Ganaderia;3A. Fermentación entérica;CH4;79860.64;2236097.99
2010;Santiago del Estero;Agricultura y Ganaderia;3A. Fermentación entérica;CH4;3433.05;96125.31
2010;Tucumán;Agricultura y Ganaderia;3A. Fermentación entérica;CH4;688.41;19275.52
2010;Tierra del Fuego, Antártida e Islas del Atlántico Sur;Agricultura y Ganaderia;3A. Fermentación entérica;CH4;14.11;394.95
2010;Buenos Aires;Agricultura y Ganaderia;3B. Gestión del estiércol;CH4;8087.26;226443.32
2010;Catamarca;Agricultura y Ganaderia;3B. Gestión del estiércol;CH4;18.51;518.3
2010;Córdoba;Agricultura y Ganaderia;3B. Gestión del estiércol;CH4;13494.89;377856.79
2010;Corrientes;Agricultura y Ganaderia;3B. Gestión del estiércol;CH4;1.35;37.71
2010;Chaco;Agricultura y Ganaderia;3B. Gestión del estiércol;CH4;2.11;59.21
2010;Chubut;Agricultura y Ganaderia;3B. Gestión del estiércol;CH4;1.58;44.29
2010;Entre Ríos;Agricultura y Ganaderia;3B. Gestión del estiércol;CH4;1307.38;36606.56
2010;Formosa;Agricultura y Ganaderia;3B. Gestión del estiércol;CH4;0.25;7.09
2010;Jujuy;Agricultura y Ganaderia;3B. Gestión del estiércol;CH4;1.26;35.18
2010;La Pampa;Agricultura y Ganaderia;3B. Gestión del estiércol;CH4;400.47;11213.23
2010;La Rioja;Agricultura y Ganaderia;3B. Gestión del estiércol;CH4;0.1;2.83
2010;Mendoza;Agricultura y Ganaderia;3B. Gestión del estiércol;CH4;4.05;113.43
2010;Misiones;Agricultura y Ganaderia;3B. Gestión del estiércol;CH4;2.46;68.84
2010;Neuquén;Agricultura y Ganaderia;3B. Gestión del estiércol;CH4;2.08;58.23
2010;Río Negro;Agricultura y Ganaderia;3B. Gestión del estiércol;CH4;8.6;240.82
2010;Salta;Agricultura y Ganaderia;3B. Gestión del estiércol;CH4;100.55;2815.38
2010;San Juan;Agricultura y Ganaderia;3B. Gestión del estiércol;CH4;0.07;2.08
2010;San Luis;Agricultura y Ganaderia;3B. Gestión del estiércol;CH4;35.22;986.2
2010;Santa Cruz;Agricultura y Ganaderia;3B. Gestión del estiércol;CH4;5.41;151.5
2010;Santa Fe;Agricultura y Ganaderia;3B. Gestión del estiércol;CH4;10592.03;296576.73
2010;Santiago del Estero;Agricultura y Ganaderia;3B. Gestión del estiércol;CH4;442.64;12393.93
2010;Tucumán;Agricultura y Ganaderia;3B. Gestión del estiércol;CH4;88.66;2482.55
2010;Tierra del Fuego, Antártida e Islas del Atlántico Sur;Agricultura y Ganaderia;3B. Gestión del estiércol;CH4;0.72;20.26
2010;Buenos Aires;Agricultura y Ganaderia;3D. Suelos agrícolas;N2O;429.43;113800.22
2010;Catamarca;Agricultura y Ganaderia;3D. Suelos agrícolas;N2O;0.98;258.98
2010;Córdoba;Agricultura y Ganaderia;3D. Suelos agrícolas;N2O;564.28;149533.96
2010;Corrientes;Agricultura y Ganaderia;3D. Suelos agrícolas;N2O;0.06;15.08
2010;Chaco;Agricultura y Ganaderia;3D. Suelos agrícolas;N2O;0.11;28.51
2010;Chubut;Agricultura y Ganaderia;3D. Suelos agrícolas;N2O;0.1;25.59
2010;Entre Ríos;Agricultura y Ganaderia;3D. Suelos agrícolas;N2O;56.39;14943.41
2010;Formosa;Agricultura y Ganaderia;3D. Suelos agrícolas;N2O;0.01;3.24
2010;Jujuy;Agricultura y Ganaderia;3D. Suelos agrícolas;N2O;0.07;17.43
2010;La Pampa;Agricultura y Ganaderia;3D. Suelos agrícolas;N2O;20.53;5441.22
2010;La Rioja;Agricultura y Ganaderia;3D. Suelos agrícolas;N2O;0.01;1.5
2010;Mendoza;Agricultura y Ganaderia;3D. Suelos agrícolas;N2O;0.21;56.29
2010;Misiones;Agricultura y Ganaderia;3D. Suelos agrícolas;N2O;0.14;37.92
2010;Neuquén;Agricultura y Ganaderia;3D. Suelos agrícolas;N2O;0.12;32.83
2010;Río Negro;Agricultura y Ganaderia;3D. Suelos agrícolas;N2O;0.54;142.1
2010;Salta;Agricultura y Ganaderia;3D. Suelos agrícolas;N2O;4.93;1307.1
2010;San Juan;Agricultura y Ganaderia;3D. Suelos agrícolas;N2O;0.0;0.82
2010;San Luis;Agricultura y Ganaderia;3D. Suelos agrícolas;N2O;2.03;536.98
2010;Santa Cruz;Agricultura y Ganaderia;3D. Suelos agrícolas;N2O;0.3;79.13
2010;Santa Fe;Agricultura y Ganaderia;3D. Suelos agrícolas;N2O;472.1;125105.97
2010;Santiago del Estero;Agricultura y Ganaderia;3D. Suelos agrícolas;N2O;20.26;5367.97
2010;Tucumán;Agricultura y Ganaderia;3D. Suelos agrícolas;N2O;4.02;1065.87
2010;Tierra del Fuego, Antártida e Islas del Atlántico Sur;Agricultura y Ganaderia;3D. Suelos agrícolas;N2O;0.09;23.67
2010;Buenos Aires;Agricultura y Ganaderia;3B. Gestión del estiércol;N2O;31.06;8231.2
2010;Catamarca;Agricultura y Ganaderia;3B. Gestión del estiércol;N2O;0.06;16.34
2010;Córdoba;Agricultura y Ganaderia;3B. Gestión del estiércol;N2O;41.02;10871.38
2010;Corrientes;Agricultura y Ganaderia;3B. Gestión del estiércol;N2O;0.0;1.16
2010;Chaco;Agricultura y Ganaderia;3B. Gestión del estiércol;N2O;0.01;1.8
2010;Chubut;Agricultura y Ganaderia;3B. Gestión del estiércol;N2O;0.01;1.76
2010;Entre Ríos;Agricultura y Ganaderia;3B. Gestión del estiércol;N2O;3.97;1053.01
2010;Formosa;Agricultura y Ganaderia;3B. Gestión del estiércol;N2O;0.0;0.22
2010;Jujuy;Agricultura y Ganaderia;3B. Gestión del estiércol;N2O;0.0;1.14
2010;La Pampa;Agricultura y Ganaderia;3B. Gestión del estiércol;N2O;1.47;390.21
2010;La Rioja;Agricultura y Ganaderia;3B. Gestión del estiércol;N2O;0.0;0.09
2010;Mendoza;Agricultura y Ganaderia;3B. Gestión del estiércol;N2O;0.01;3.58
2010;Misiones;Agricultura y Ganaderia;3B. Gestión del estiércol;N2O;0.01;2.06
2010;Neuquén;Agricultura y Ganaderia;3B. Gestión del estiércol;N2O;0.01;2.32
2010;Río Negro;Agricultura y Ganaderia;3B. Gestión del estiércol;N2O;0.04;9.54
2010;Salta;Agricultura y Ganaderia;3B. Gestión del estiércol;N2O;0.35;91.79
2010;San Juan;Agricultura y Ganaderia;3B. Gestión del estiércol;N2O;0.0;0.07
2010;San Luis;Agricultura y Ganaderia;3B. Gestión del estiércol;N2O;0.14;36.32
2010;Santa Cruz;Agricultura y Ganaderia;3B. Gestión del estiércol;N2O;0.02;6.08
2010;Santa Fe;Agricultura y Ganaderia;3B. Gestión del estiércol;N2O;33.06;8760.35
2010;Santiago del Estero;Agricultura y Ganaderia;3B. Gestión del estiércol;N2O;1.45;383.9
2010;Tucumán;Agricultura y Ganaderia;3B. Gestión del estiércol;N2O;0.31;82.58
2010;Tierra del Fuego, Antártida e Islas del Atlántico Sur;Agricultura y Ganaderia;3B. Gestión del estiércol;N2O;0.0;0.72
2011;Buenos Aires;Agricultura y Ganaderia;3A. Fermentación entérica;CH4;76881.46;2152680.89
2011;Catamarca;Agricultura y Ganaderia;3A. Fermentación entérica;CH4;187.08;5238.38
2011;Córdoba;Agricultura y Ganaderia;3A. Fermentación entérica;CH4;96060.1;2689682.68
2011;Corrientes;Agricultura y Ganaderia;3A. Fermentación entérica;CH4;12.65;354.3
2011;Chaco;Agricultura y Ganaderia;3A. Fermentación entérica;CH4;1.13;31.77
2011;Chubut;Agricultura y Ganaderia;3A. Fermentación entérica;CH4;23.9;669.27
2011;Entre Ríos;Agricultura y Ganaderia;3A. Fermentación entérica;CH4;9907.49;277409.76
2011;Formosa;Agricultura y Ganaderia;3A. Fermentación entérica;CH4;2.02;56.54
2011;Jujuy;Agricultura y Ganaderia;3A. Fermentación entérica;CH4;16.54;463.24
2011;La Pampa;Agricultura y Ganaderia;3A. Fermentación entérica;CH4;4274.68;119690.98
2011;La Rioja;Agricultura y Ganaderia;3A. Fermentación entérica;CH4;0.96;26.87
2011;Mendoza;Agricultura y Ganaderia;3A. Fermentación entérica;CH4;37.98;1063.37
2011;Misiones;Agricultura y Ganaderia;3A. Fermentación entérica;CH4;15.72;440.16
2011;Neuquén;Agricultura y Ganaderia;3A. Fermentación entérica;CH4;41.26;1155.4
2011;Río Negro;Agricultura y Ganaderia;3A. Fermentación entérica;CH4;97.68;2735.11
2011;Salta;Agricultura y Ganaderia;3A. Fermentación entérica;CH4;878.53;24598.71
2011;San Juan;Agricultura y Ganaderia;3A. Fermentación entérica;CH4;0.55;15.45
2011;San Luis;Agricultura y Ganaderia;3A. Fermentación entérica;CH4;247.69;6935.37
2011;Santa Cruz;Agricultura y Ganaderia;3A. Fermentación entérica;CH4;71.9;2013.22
2011;Santa Fe;Agricultura y Ganaderia;3A. Fermentación entérica;CH4;79798.05;2234345.41
2011;Santiago del Estero;Agricultura y Ganaderia;3A. Fermentación entérica;CH4;3680.38;103050.73
2011;Tucumán;Agricultura y Ganaderia;3A. Fermentación entérica;CH4;819.58;22948.13
2011;Tierra del Fuego, Antártida e Islas del Atlántico Sur;Agricultura y Ganaderia;3A. Fermentación entérica;CH4;7.36;206.05
2011;Buenos Aires;Agricultura y Ganaderia;3B. Gestión del estiércol;CH4;8618.31;241312.67
2011;Catamarca;Agricultura y Ganaderia;3B. Gestión del estiércol;CH4;21.33;597.1
2011;Córdoba;Agricultura y Ganaderia;3B. Gestión del estiércol;CH4;13571.05;379989.33
2011;Corrientes;Agricultura y Ganaderia;3B. Gestión del estiércol;CH4;1.54;43.2
2011;Chaco;Agricultura y Ganaderia;3B. Gestión del estiércol;CH4;0.16;4.41
2011;Chubut;Agricultura y Ganaderia;3B. Gestión del estiércol;CH4;2.4;67.31
2011;Entre Ríos;Agricultura y Ganaderia;3B. Gestión del estiércol;CH4;1384.98;38779.42
2011;Formosa;Agricultura y Ganaderia;3B. Gestión del estiércol;CH4;0.25;6.98
2011;Jujuy;Agricultura y Ganaderia;3B. Gestión del estiércol;CH4;1.99;55.63
2011;La Pampa;Agricultura y Ganaderia;3B. Gestión del estiércol;CH4;483.82;13547.03
2011;La Rioja;Agricultura y Ganaderia;3B. Gestión del estiércol;CH4;0.11;2.95
2011;Mendoza;Agricultura y Ganaderia;3B. Gestión del estiércol;CH4;4.53;126.86
2011;Misiones;Agricultura y Ganaderia;3B. Gestión del estiércol;CH4;1.98;55.51
2011;Neuquén;Agricultura y Ganaderia;3B. Gestión del estiércol;CH4;4.06;113.75
2011;Río Negro;Agricultura y Ganaderia;3B. Gestión del estiércol;CH4;9.55;267.29
2011;Salta;Agricultura y Ganaderia;3B. Gestión del estiércol;CH4;107.85;3019.83
2011;San Juan;Agricultura y Ganaderia;3B. Gestión del estiércol;CH4;0.08;2.16
2011;San Luis;Agricultura y Ganaderia;3B. Gestión del estiércol;CH4;26.63;745.72
2011;Santa Cruz;Agricultura y Ganaderia;3B. Gestión del estiércol;CH4;6.19;173.19
2011;Santa Fe;Agricultura y Ganaderia;3B. Gestión del estiércol;CH4;10718.88;300128.69
2011;Santiago del Estero;Agricultura y Ganaderia;3B. Gestión del estiércol;CH4;483.17;13528.83
2011;Tucumán;Agricultura y Ganaderia;3B. Gestión del estiércol;CH4;104.15;2916.14
2011;Tierra del Fuego, Antártida e Islas del Atlántico Sur;Agricultura y Ganaderia;3B. Gestión del estiércol;CH4;0.4;11.29
2011;Buenos Aires;Agricultura y Ganaderia;3D. Suelos agrícolas;N2O;451.86;119743.91
2011;Catamarca;Agricultura y Ganaderia;3D. Suelos agrícolas;N2O;1.12;296.24
2011;Córdoba;Agricultura y Ganaderia;3D. Suelos agrícolas;N2O;565.07;149743.74
2011;Corrientes;Agricultura y Ganaderia;3D. Suelos agrícolas;N2O;0.08;19.98
2011;Chaco;Agricultura y Ganaderia;3D. Suelos agrícolas;N2O;0.01;1.77
2011;Chubut;Agricultura y Ganaderia;3D. Suelos agrícolas;N2O;0.14;37.46
2011;Entre Ríos;Agricultura y Ganaderia;3D. Suelos agrícolas;N2O;58.36;15464.37
2011;Formosa;Agricultura y Ganaderia;3D. Suelos agrícolas;N2O;0.01;3.19
2011;Jujuy;Agricultura y Ganaderia;3D. Suelos agrícolas;N2O;0.1;26.01
2011;La Pampa;Agricultura y Ganaderia;3D. Suelos agrícolas;N2O;25.26;6694.4
2011;La Rioja;Agricultura y Ganaderia;3D. Suelos agrícolas;N2O;0.01;1.54
2011;Mendoza;Agricultura y Ganaderia;3D. Suelos agrícolas;N2O;0.23;59.92
2011;Misiones;Agricultura y Ganaderia;3D. Suelos agrícolas;N2O;0.09;24.72
2011;Neuquén;Agricultura y Ganaderia;3D. Suelos agrícolas;N2O;0.25;64.93
2011;Río Negro;Agricultura y Ganaderia;3D. Suelos agrícolas;N2O;0.58;153.21
2011;Salta;Agricultura y Ganaderia;3D. Suelos agrícolas;N2O;5.18;1372.5
2011;San Juan;Agricultura y Ganaderia;3D. Suelos agrícolas;N2O;0.0;0.85
2011;San Luis;Agricultura y Ganaderia;3D. Suelos agrícolas;N2O;1.46;387.3
2011;Santa Cruz;Agricultura y Ganaderia;3D. Suelos agrícolas;N2O;0.44;116.8
2011;Santa Fe;Agricultura y Ganaderia;3D. Suelos agrícolas;N2O;470.85;124774.66
2011;Santiago del Estero;Agricultura y Ganaderia;3D. Suelos agrícolas;N2O;21.66;5739.55
2011;Tucumán;Agricultura y Ganaderia;3D. Suelos agrícolas;N2O;4.8;1271.57
2011;Tierra del Fuego, Antártida e Islas del Atlántico Sur;Agricultura y Ganaderia;3D. Suelos agrícolas;N2O;0.05;12.3
2011;Buenos Aires;Agricultura y Ganaderia;3B. Gestión del estiércol;N2O;33.21;8800.98
2011;Catamarca;Agricultura y Ganaderia;3B. Gestión del estiércol;N2O;0.07;18.84
2011;Córdoba;Agricultura y Ganaderia;3B. Gestión del estiércol;N2O;41.26;10933.89
2011;Corrientes;Agricultura y Ganaderia;3B. Gestión del estiércol;N2O;0.0;1.31
2011;Chaco;Agricultura y Ganaderia;3B. Gestión del estiércol;N2O;0.0;0.14
2011;Chubut;Agricultura y Ganaderia;3B. Gestión del estiércol;N2O;0.01;2.68
2011;Entre Ríos;Agricultura y Ganaderia;3B. Gestión del estiércol;N2O;4.22;1117.35
2011;Formosa;Agricultura y Ganaderia;3B. Gestión del estiércol;N2O;0.0;0.21
2011;Jujuy;Agricultura y Ganaderia;3B. Gestión del estiércol;N2O;0.01;1.81
2011;La Pampa;Agricultura y Ganaderia;3B. Gestión del estiércol;N2O;1.77;469.28
2011;La Rioja;Agricultura y Ganaderia;3B. Gestión del estiércol;N2O;0.0;0.09
2011;Mendoza;Agricultura y Ganaderia;3B. Gestión del estiércol;N2O;0.02;4.02
2011;Misiones;Agricultura y Ganaderia;3B. Gestión del estiércol;N2O;0.01;1.69
2011;Neuquén;Agricultura y Ganaderia;3B. Gestión del estiércol;N2O;0.02;4.52
2011;Río Negro;Agricultura y Ganaderia;3B. Gestión del estiércol;N2O;0.04;10.62
2011;Salta;Agricultura y Ganaderia;3B. Gestión del estiércol;N2O;0.37;98.62
2011;San Juan;Agricultura y Ganaderia;3B. Gestión del estiércol;N2O;0.0;0.07
2011;San Luis;Agricultura y Ganaderia;3B. Gestión del estiércol;N2O;0.1;27.59
2011;Santa Cruz;Agricultura y Ganaderia;3B. Gestión del estiércol;N2O;0.03;6.77
2011;Santa Fe;Agricultura y Ganaderia;3B. Gestión del estiércol;N2O;33.48;8872.39
2011;Santiago del Estero;Agricultura y Ganaderia;3B. Gestión del estiércol;N2O;1.58;419.69
2011;Tucumán;Agricultura y Ganaderia;3B. Gestión del estiércol;N2O;0.37;96.88
2011;Tierra del Fuego, Antártida e Islas del Atlántico Sur;Agricultura y Ganaderia;3B. Gestión del estiércol;N2O;0.0;0.41
2012;Buenos Aires;Agricultura y Ganaderia;3A. Fermentación entérica;CH4;79776.63;2233745.6
2012;Catamarca;Agricultura y Ganaderia;3A. Fermentación entérica;CH4;287.52;8050.56
2012;Córdoba;Agricultura y Ganaderia;3A. Fermentación entérica;CH4;91777.65;2569774.07
2012;Corrientes;Agricultura y Ganaderia;3A. Fermentación entérica;CH4;13.19;369.3
2012;Chaco;Agricultura y Ganaderia;3A. Fermentación entérica;CH4;30.64;857.85
2012;Chubut;Agricultura y Ganaderia;3A. Fermentación entérica;CH4;20.85;583.88
2012;Entre Ríos;Agricultura y Ganaderia;3A. Fermentación entérica;CH4;10282.01;287896.2
2012;Formosa;Agricultura y Ganaderia;3A. Fermentación entérica;CH4;1.87;52.24
2012;Jujuy;Agricultura y Ganaderia;3A. Fermentación entérica;CH4;11.03;308.7
2012;La Pampa;Agricultura y Ganaderia;3A. Fermentación entérica;CH4;4275.23;119706.34
2012;La Rioja;Agricultura y Ganaderia;3A. Fermentación entérica;CH4;0.54;15.13
2012;Mendoza;Agricultura y Ganaderia;3A. Fermentación entérica;CH4;54.67;1530.8
2012;Misiones;Agricultura y Ganaderia;3A. Fermentación entérica;CH4;28.15;788.34
2012;Neuquén;Agricultura y Ganaderia;3A. Fermentación entérica;CH4;28.71;803.92
2012;Río Negro;Agricultura y Ganaderia;3A. Fermentación entérica;CH4;120.02;3360.66
2012;Salta;Agricultura y Ganaderia;3A. Fermentación entérica;CH4;923.18;25849.1
2012;San Juan;Agricultura y Ganaderia;3A. Fermentación entérica;CH4;8.45;236.61
2012;San Luis;Agricultura y Ganaderia;3A. Fermentación entérica;CH4;221.5;6202.12
2012;Santa Cruz;Agricultura y Ganaderia;3A. Fermentación entérica;CH4;78.85;2207.81
2012;Santa Fe;Agricultura y Ganaderia;3A. Fermentación entérica;CH4;86122.94;2411442.32
2012;Santiago del Estero;Agricultura y Ganaderia;3A. Fermentación entérica;CH4;3481.66;97486.57
2012;Tucumán;Agricultura y Ganaderia;3A. Fermentación entérica;CH4;746.36;20897.97
2012;Tierra del Fuego, Antártida e Islas del Atlántico Sur;Agricultura y Ganaderia;3A. Fermentación entérica;CH4;12.2;341.65
2012;Buenos Aires;Agricultura y Ganaderia;3B. Gestión del estiércol;CH4;8952.45;250668.72
2012;Catamarca;Agricultura y Ganaderia;3B. Gestión del estiércol;CH4;30.53;854.79
2012;Córdoba;Agricultura y Ganaderia;3B. Gestión del estiércol;CH4;12990.37;363730.45
2012;Corrientes;Agricultura y Ganaderia;3B. Gestión del estiércol;CH4;1.59;44.62
2012;Chaco;Agricultura y Ganaderia;3B. Gestión del estiércol;CH4;3.78;105.83
2012;Chubut;Agricultura y Ganaderia;3B. Gestión del estiércol;CH4;2.27;63.67
2012;Entre Ríos;Agricultura y Ganaderia;3B. Gestión del estiércol;CH4;1430.11;40043.16
2012;Formosa;Agricultura y Ganaderia;3B. Gestión del estiércol;CH4;0.2;5.57
2012;Jujuy;Agricultura y Ganaderia;3B. Gestión del estiércol;CH4;1.36;37.97
2012;La Pampa;Agricultura y Ganaderia;3B. Gestión del estiércol;CH4;493.06;13805.62
2012;La Rioja;Agricultura y Ganaderia;3B. Gestión del estiércol;CH4;0.05;1.48
2012;Mendoza;Agricultura y Ganaderia;3B. Gestión del estiércol;CH4;6.35;177.9
2012;Misiones;Agricultura y Ganaderia;3B. Gestión del estiércol;CH4;3.23;90.56
2012;Neuquén;Agricultura y Ganaderia;3B. Gestión del estiércol;CH4;2.88;80.66
2012;Río Negro;Agricultura y Ganaderia;3B. Gestión del estiércol;CH4;11.67;326.63
2012;Salta;Agricultura y Ganaderia;3B. Gestión del estiércol;CH4;114.44;3204.25
2012;San Juan;Agricultura y Ganaderia;3B. Gestión del estiércol;CH4;0.9;25.31
2012;San Luis;Agricultura y Ganaderia;3B. Gestión del estiércol;CH4;23.03;644.77
2012;Santa Cruz;Agricultura y Ganaderia;3B. Gestión del estiércol;CH4;7.4;207.28
2012;Santa Fe;Agricultura y Ganaderia;3B. Gestión del estiércol;CH4;11605.77;324961.69
2012;Santiago del Estero;Agricultura y Ganaderia;3B. Gestión del estiércol;CH4;461.58;12924.23
2012;Tucumán;Agricultura y Ganaderia;3B. Gestión del estiércol;CH4;90.77;2541.55
2012;Tierra del Fuego, Antártida e Islas del Atlántico Sur;Agricultura y Ganaderia;3B. Gestión del estiércol;CH4;0.48;13.54
2012;Buenos Aires;Agricultura y Ganaderia;3D. Suelos agrícolas;N2O;468.82;124236.18
2012;Catamarca;Agricultura y Ganaderia;3D. Suelos agrícolas;N2O;1.73;459.03
2012;Córdoba;Agricultura y Ganaderia;3D. Suelos agrícolas;N2O;539.72;143025.85
2012;Corrientes;Agricultura y Ganaderia;3D. Suelos agrícolas;N2O;0.08;20.84
2012;Chaco;Agricultura y Ganaderia;3D. Suelos agrícolas;N2O;0.18;48.37
2012;Chubut;Agricultura y Ganaderia;3D. Suelos agrícolas;N2O;0.12;32.29
2012;Entre Ríos;Agricultura y Ganaderia;3D. Suelos agrícolas;N2O;60.61;16061.21
2012;Formosa;Agricultura y Ganaderia;3D. Suelos agrícolas;N2O;0.01;3.0
2012;Jujuy;Agricultura y Ganaderia;3D. Suelos agrícolas;N2O;0.07;17.25
2012;La Pampa;Agricultura y Ganaderia;3D. Suelos agrícolas;N2O;25.17;6669.85
2012;La Rioja;Agricultura y Ganaderia;3D. Suelos agrícolas;N2O;0.0;0.88
2012;Mendoza;Agricultura y Ganaderia;3D. Suelos agrícolas;N2O;0.33;86.44
2012;Misiones;Agricultura y Ganaderia;3D. Suelos agrícolas;N2O;0.17;44.74
2012;Neuquén;Agricultura y Ganaderia;3D. Suelos agrícolas;N2O;0.17;45.13
2012;Río Negro;Agricultura y Ganaderia;3D. Suelos agrícolas;N2O;0.71;188.47
2012;Salta;Agricultura y Ganaderia;3D. Suelos agrícolas;N2O;5.43;1439.84
2012;San Juan;Agricultura y Ganaderia;3D. Suelos agrícolas;N2O;0.05;13.5
2012;San Luis;Agricultura y Ganaderia;3D. Suelos agrícolas;N2O;1.31;347.85
2012;Santa Cruz;Agricultura y Ganaderia;3D. Suelos agrícolas;N2O;0.48;125.97
2012;Santa Fe;Agricultura y Ganaderia;3D. Suelos agrícolas;N2O;507.96;134609.35
2012;Santiago del Estero;Agricultura y Ganaderia;3D. Suelos agrícolas;N2O;20.46;5421.83
2012;Tucumán;Agricultura y Ganaderia;3D. Suelos agrícolas;N2O;4.4;1165.03
2012;Tierra del Fuego, Antártida e Islas del Atlántico Sur;Agricultura y Ganaderia;3D. Suelos agrícolas;N2O;0.08;20.86
2012;Buenos Aires;Agricultura y Ganaderia;3B. Gestión del estiércol;N2O;34.49;9139.27
2012;Catamarca;Agricultura y Ganaderia;3B. Gestión del estiércol;N2O;0.1;26.77
2012;Córdoba;Agricultura y Ganaderia;3B. Gestión del estiércol;N2O;39.5;10468.7
2012;Corrientes;Agricultura y Ganaderia;3B. Gestión del estiércol;N2O;0.01;1.36
2012;Chaco;Agricultura y Ganaderia;3B. Gestión del estiércol;N2O;0.01;3.22
2012;Chubut;Agricultura y Ganaderia;3B. Gestión del estiércol;N2O;0.01;2.56
2012;Entre Ríos;Agricultura y Ganaderia;3B. Gestión del estiércol;N2O;4.35;1153.3
2012;Formosa;Agricultura y Ganaderia;3B. Gestión del estiércol;N2O;0.0;0.17
2012;Jujuy;Agricultura y Ganaderia;3B. Gestión del estiércol;N2O;0.0;1.24
2012;La Pampa;Agricultura y Ganaderia;3B. Gestión del estiércol;N2O;1.82;482.95
2012;La Rioja;Agricultura y Ganaderia;3B. Gestión del estiércol;N2O;0.0;0.05
2012;Mendoza;Agricultura y Ganaderia;3B. Gestión del estiércol;N2O;0.02;5.62
2012;Misiones;Agricultura y Ganaderia;3B. Gestión del estiércol;N2O;0.01;2.74
2012;Neuquén;Agricultura y Ganaderia;3B. Gestión del estiércol;N2O;0.01;3.21
2012;Río Negro;Agricultura y Ganaderia;3B. Gestión del estiércol;N2O;0.05;12.97
2012;Salta;Agricultura y Ganaderia;3B. Gestión del estiércol;N2O;0.4;104.74
2012;San Juan;Agricultura y Ganaderia;3B. Gestión del estiércol;N2O;0.0;0.79
2012;San Luis;Agricultura y Ganaderia;3B. Gestión del estiércol;N2O;0.09;23.77
2012;Santa Cruz;Agricultura y Ganaderia;3B. Gestión del estiércol;N2O;0.03;8.2
2012;Santa Fe;Agricultura y Ganaderia;3B. Gestión del estiércol;N2O;36.26;9609.5
2012;Santiago del Estero;Agricultura y Ganaderia;3B. Gestión del estiércol;N2O;1.51;401.27
2012;Tucumán;Agricultura y Ganaderia;3B. Gestión del estiércol;N2O;0.32;84.11
2012;Tierra del Fuego, Antártida e Islas del Atlántico Sur;Agricultura y Ganaderia;3B. Gestión del estiércol;N2O;0.0;0.45
2013;Buenos Aires;Agricultura y Ganaderia;3A. Fermentación entérica;CH4;75347.46;2109728.98
2013;Catamarca;Agricultura y Ganaderia;3A. Fermentación entérica;CH4;262.15;7340.23
2013;Córdoba;Agricultura y Ganaderia;3A. Fermentación entérica;CH4;94553.83;2647507.12
2013;Corrientes;Agricultura y Ganaderia;3A. Fermentación entérica;CH4;12.69;355.3
2013;Chaco;Agricultura y Ganaderia;3A. Fermentación entérica;CH4;10.24;286.76
2013;Chubut;Agricultura y Ganaderia;3A. Fermentación entérica;CH4;43.43;1215.93
2013;Entre Ríos;Agricultura y Ganaderia;3A. Fermentación entérica;CH4;10527.13;294759.75
2013;Formosa;Agricultura y Ganaderia;3A. Fermentación entérica;CH4;5.99;167.8
2013;Jujuy;Agricultura y Ganaderia;3A. Fermentación entérica;CH4;45.18;1265.02
2013;La Pampa;Agricultura y Ganaderia;3A. Fermentación entérica;CH4;4915.95;137646.66
2013;La Rioja;Agricultura y Ganaderia;3A. Fermentación entérica;CH4;0.71;19.97
2013;Mendoza;Agricultura y Ganaderia;3A. Fermentación entérica;CH4;39.3;1100.39
2013;Misiones;Agricultura y Ganaderia;3A. Fermentación entérica;CH4;25.65;718.15
